N_PROF,N_LEVELS,CYCLE_NUMBER,DATA_MODE,DIRECTION,PLATFORM_NUMBER,POSITION_QC,PRES,PRES_ERROR,PRES_QC,PSAL,PSAL_ERROR,PSAL_QC,TEMP,TEMP_ERROR,TEMP_QC,TIME_QC,LATITUDE,LONGITUDE,TIME
1,0,127,D,A,2902766,1,0.4,2.4,1,33.52018,0.01,1,29.906,0.002,1,1,15.98,88.213,2023-07-01 05:36:26
1,1,127,D,A,2902766,1,1.1,2.4,1,33.50923,0.01,1,29.907,0.002,1,1,15.98,88.213,2023-07-01 05:36:26
1,2,127,D,A,2902766,1,1.8,2.4,1,33.51348,0.01,1,29.906,0.002,1,1,15.98,88.213,2023-07-01 05:36:26
1,3,127,D,A,2902766,1,2.8,2.4,1,33.51877,0.01,1,29.9,0.002,1,1,15.98,88.213,2023-07-01 05:36:26
1,4,127,D,A,2902766,1,3.8,2.4,1,33.52018,0.01,1,29.89,0.002,1,1,15.98,88.213,2023-07-01 05:36:26
1,5,127,D,A,2902766,1,5.0,2.4,1,33.52727,0.01,1,29.865,0.002,1,1,15.98,88.213,2023-07-01 05:36:26
1,6,127,D,A,2902766,1,5.7,2.4,1,33.52795,0.01,1,29.866,0.002,1,1,15.98,88.213,2023-07-01 05:36:26
1,7,127,D,A,2902766,1,6.9,2.4,1,33.52898,0.01,1,29.845,0.002,1,1,15.98,88.213,2023-07-01 05:36:26
1,8,127,D,A,2902766,1,8.1,2.4,1,33.53016,0.01,1,29.846,0.002,1,1,15.98,88.213,2023-07-01 05:36:26
1,9,127,D,A,2902766,1,8.8,2.4,1,33.53129,0.01,1,29.845,0.002,1,1,15.98,88.213,2023-07-01 05:36:26
1,10,127,D,A,2902766,1,10.0,2.4,1,33.53112,0.01,1,29.839,0.002,1,1,15.98,88.213,2023-07-01 05:36:26
1,11,127,D,A,2902766,1,15.5,2.4,1,33.54203,0.01,1,29.829,0.002,1,1,15.98,88.213,2023-07-01 05:36:26
1,12,127,D,A,2902766,1,25.1,2.4,1,33.62591,0.01,1,29.677,0.002,1,1,15.98,88.213,2023-07-01 05:36:26
1,13,127,D,A,2902766,1,35.4,2.4,1,33.65514,0.01,1,29.534,0.002,1,1,15.98,88.213,2023-07-01 05:36:26
1,14,127,D,A,2902766,1,45.3,2.4,1,33.67305,0.01,1,29.513,0.002,1,1,15.98,88.213,2023-07-01 05:36:26
1,15,127,D,A,2902766,1,55.4,2.4,1,33.71258,0.01,1,29.505,0.002,1,1,15.98,88.213,2023-07-01 05:36:26
1,16,127,D,A,2902766,1,65.2,2.4,1,33.82654,0.01,1,29.122,0.002,1,1,15.98,88.213,2023-07-01 05:36:26
1,17,127,D,A,2902766,1,75.4,2.4,1,33.95237,0.01,1,27.966,0.002,1,1,15.98,88.213,2023-07-01 05:36:26
1,18,127,D,A,2902766,1,84.8,2.4,1,34.23965,0.01,1,27.222,0.002,1,1,15.98,88.213,2023-07-01 05:36:26
